               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.018567,           0.0085378,           0.0015869,             0.86596,             0.89929,              0.8987,             0.64573,            0.019947,           0.0067142,           0.0016449,            0.001585,            0.001585,            0.001585
                  87,            0.018443,           0.0084413,           0.0014816,             0.87109,             0.86789,             0.90126,             0.65775,            0.020011,           0.0066956,           0.0015746,            0.001486,            0.001486,            0.001486
                  88,             0.01787,           0.0086635,           0.0014622,             0.85294,             0.86602,             0.90696,             0.65001,            0.019977,           0.0067074,           0.0015039,            0.001387,            0.001387,            0.001387
                  89,            0.018574,           0.0086637,           0.0015489,             0.87145,             0.86282,             0.90888,             0.65455,            0.020168,           0.0066066,           0.0015759,            0.001288,            0.001288,            0.001288
                  90,            0.017656,           0.0082361,           0.0013195,             0.85925,             0.88505,             0.90987,             0.66947,            0.019901,           0.0065983,           0.0015991,            0.001189,            0.001189,            0.001189
                  91,            0.017906,           0.0084943,           0.0014449,             0.85379,             0.89494,             0.91952,             0.66615,            0.019872,           0.0066309,           0.0015892,             0.00109,             0.00109,             0.00109
                  92,            0.017373,            0.008274,           0.0014534,             0.85418,              0.8954,              0.9152,             0.66446,            0.019812,           0.0066405,           0.0016641,            0.000991,            0.000991,            0.000991
                  93,            0.017456,           0.0085446,           0.0014035,             0.87357,             0.85551,             0.91275,             0.66127,            0.019653,           0.0067218,           0.0015622,            0.000892,            0.000892,            0.000892
                  94,            0.017069,           0.0084719,           0.0012261,             0.89017,             0.85372,             0.90459,             0.65577,             0.01982,           0.0067011,            0.001503,            0.000793,            0.000793,            0.000793
                  95,             0.01735,           0.0085897,           0.0012128,             0.85767,             0.89619,             0.90685,             0.65726,            0.019615,           0.0066717,           0.0015114,            0.000694,            0.000694,            0.000694
                  96,             0.01724,           0.0083096,            0.001251,             0.89316,             0.84311,             0.90261,             0.65744,            0.019817,           0.0066521,           0.0014967,            0.000595,            0.000595,            0.000595
                  97,            0.016692,           0.0083249,           0.0010632,             0.87332,             0.85578,             0.90076,             0.65644,            0.019678,            0.006681,           0.0014704,            0.000496,            0.000496,            0.000496
                  98,            0.016902,           0.0079206,           0.0011774,             0.86681,             0.85124,             0.90502,              0.6618,            0.019517,           0.0066777,           0.0014149,            0.000397,            0.000397,            0.000397
                  99,            0.017085,           0.0082225,           0.0013464,             0.86738,             0.85851,             0.90389,             0.65467,            0.019624,            0.006641,           0.0013943,            0.000298,            0.000298,            0.000298
