               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.021384,            0.010623,           0.0011406,             0.88918,              0.9212,             0.92422,             0.66976,            0.023737,           0.0097188,           0.0020129,            0.003664,            0.003664,            0.003664
                  66,             0.02059,            0.010393,           0.0010019,             0.89325,             0.91474,             0.91458,             0.66043,            0.023444,           0.0099768,           0.0021814,            0.003565,            0.003565,            0.003565
                  67,            0.020171,            0.010094,           0.0010774,             0.90746,             0.92661,             0.92272,              0.6619,            0.023484,            0.010184,           0.0023061,            0.003466,            0.003466,            0.003466
                  68,            0.020248,            0.010191,           0.0019625,             0.88856,             0.91838,             0.93066,              0.6809,            0.022968,           0.0096805,            0.002389,            0.003367,            0.003367,            0.003367
                  69,            0.020085,            0.010205,           0.0011236,             0.90709,             0.89668,             0.91704,             0.66607,            0.023121,           0.0095033,           0.0024858,            0.003268,            0.003268,            0.003268
                  70,            0.020546,            0.010315,           0.0011287,             0.90911,             0.88394,             0.91901,             0.67845,            0.022424,           0.0095609,           0.0024601,            0.003169,            0.003169,            0.003169
                  71,            0.020068,           0.0099168,          0.00097108,             0.87858,             0.91738,             0.93043,             0.67511,            0.022962,           0.0097439,           0.0021685,             0.00307,             0.00307,             0.00307
                  72,            0.019495,           0.0099059,           0.0010901,             0.88686,             0.92992,             0.92968,             0.67156,            0.021841,           0.0097457,           0.0023794,            0.002971,            0.002971,            0.002971
                  73,            0.019404,           0.0099703,          0.00094438,             0.88782,             0.93526,             0.92155,             0.67524,            0.022556,              0.0095,           0.0023407,            0.002872,            0.002872,            0.002872
                  74,            0.019627,            0.009957,          0.00084727,             0.89963,             0.91244,             0.92091,             0.66479,            0.022926,           0.0093935,           0.0023662,            0.002773,            0.002773,            0.002773
                  75,            0.019306,           0.0097898,          0.00084943,             0.90641,             0.88491,             0.91727,             0.66288,            0.023211,            0.009819,           0.0024266,            0.002674,            0.002674,            0.002674
                  76,            0.018889,           0.0097816,          0.00089296,             0.85607,             0.93018,             0.91799,             0.66951,            0.022626,           0.0093893,           0.0022872,            0.002575,            0.002575,            0.002575
                  77,            0.019475,           0.0095864,          0.00085711,             0.90457,             0.91772,             0.92642,             0.67154,            0.022699,           0.0092901,           0.0021411,            0.002476,            0.002476,            0.002476
                  78,            0.018527,           0.0095243,          0.00084466,             0.90736,             0.88226,             0.91114,             0.66454,            0.022945,           0.0096009,           0.0024165,            0.002377,            0.002377,            0.002377
                  79,            0.018551,           0.0096005,          0.00082084,             0.92087,             0.89019,             0.91923,             0.66669,             0.02213,           0.0092928,           0.0022236,            0.002278,            0.002278,            0.002278
                  80,            0.018706,           0.0095362,          0.00073392,             0.91408,             0.91598,             0.92804,             0.67568,            0.022006,           0.0095853,           0.0022378,            0.002179,            0.002179,            0.002179
                  81,            0.018256,           0.0096252,          0.00068946,              0.9202,             0.91619,             0.92984,             0.67665,            0.022624,            0.009526,           0.0022296,             0.00208,             0.00208,             0.00208
                  82,            0.018527,           0.0093889,          0.00087345,             0.90925,             0.92898,             0.92728,              0.6726,            0.021833,           0.0094617,           0.0021788,            0.001981,            0.001981,            0.001981
