               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.027235,            0.010349,           0.0036085,             0.90303,             0.80451,             0.84367,             0.55278,            0.025233,           0.0074044,           0.0032796,           0.0077725,           0.0077725,           0.0077725
                  47,            0.026394,           0.0099805,           0.0037042,             0.93126,             0.78973,             0.81972,             0.55277,            0.025379,           0.0074429,           0.0035459,            0.007723,            0.007723,            0.007723
                  48,            0.027443,            0.010047,           0.0038468,             0.91248,             0.79969,             0.88224,             0.59195,            0.024729,           0.0074745,           0.0032038,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026731,            0.010093,           0.0033433,             0.90634,             0.81948,             0.88261,             0.58263,            0.023959,           0.0071319,           0.0027454,            0.007624,            0.007624,            0.007624
                  50,            0.026905,           0.0099267,           0.0035397,             0.89621,             0.82786,             0.88316,             0.58767,            0.024045,           0.0071363,           0.0027343,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026526,            0.009608,           0.0031809,             0.92302,             0.76729,             0.87844,             0.60953,            0.024012,           0.0072819,            0.003014,            0.007525,            0.007525,            0.007525
                  52,            0.025568,           0.0097984,           0.0031894,             0.90789,             0.80346,             0.88185,             0.60684,            0.025619,           0.0072718,           0.0033227,           0.0074755,           0.0074755,           0.0074755
                  53,            0.026181,           0.0098306,           0.0032804,             0.91139,             0.78383,             0.88726,              0.6017,            0.024125,            0.007462,           0.0033998,            0.007426,            0.007426,            0.007426
                  54,            0.026102,            0.010078,           0.0031088,             0.90074,             0.78917,             0.88786,             0.61547,            0.023486,           0.0071994,           0.0029295,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025817,            0.010052,           0.0032522,             0.91507,             0.77185,             0.86561,             0.59212,             0.02437,           0.0074518,           0.0029869,            0.007327,            0.007327,            0.007327
                  56,            0.025334,           0.0098301,           0.0033142,             0.80588,             0.88323,             0.87839,             0.60922,            0.022657,           0.0073135,           0.0028808,           0.0072775,           0.0072775,           0.0072775
                  57,            0.025088,           0.0098935,             0.00302,             0.91014,             0.80604,             0.87067,             0.59312,            0.023549,           0.0073274,           0.0027673,            0.007228,            0.007228,            0.007228
                  58,            0.024969,           0.0095732,           0.0033158,             0.75288,             0.88934,             0.89587,             0.61735,            0.023664,           0.0072832,           0.0026023,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02579,            0.010006,            0.003076,             0.90949,             0.80208,              0.8858,             0.60511,             0.02329,           0.0072082,           0.0028092,            0.007129,            0.007129,            0.007129
                  60,            0.025966,           0.0095277,           0.0030964,             0.92982,             0.80645,              0.9215,             0.64044,            0.023166,           0.0072853,           0.0024986,           0.0070795,           0.0070795,           0.0070795
                  61,            0.026365,           0.0095062,           0.0031957,             0.73158,             0.89131,             0.89271,             0.61572,            0.023606,           0.0073454,           0.0029365,             0.00703,             0.00703,             0.00703
                  62,            0.024757,           0.0094172,           0.0026513,             0.76098,              0.9169,             0.89136,             0.61866,            0.023707,            0.007177,           0.0026843,           0.0069805,           0.0069805,           0.0069805
                  63,            0.024781,           0.0096963,           0.0028575,             0.77106,             0.87527,             0.89081,             0.60849,            0.023816,           0.0071948,           0.0029693,            0.006931,            0.006931,            0.006931
                  64,            0.024599,           0.0095523,           0.0028392,             0.79516,             0.87313,             0.91049,             0.62336,            0.024152,           0.0073041,           0.0026529,           0.0068815,           0.0068815,           0.0068815
                  65,            0.024798,           0.0096292,           0.0026477,             0.75369,             0.91181,              0.9114,             0.64553,            0.022696,           0.0071738,           0.0024304,            0.006832,            0.006832,            0.006832
                  66,            0.024952,           0.0095694,           0.0025368,             0.79091,             0.85719,             0.89603,             0.62408,             0.02251,            0.007174,           0.0026917,           0.0067825,           0.0067825,           0.0067825
                  67,            0.024266,           0.0092504,           0.0024478,             0.79515,             0.84904,             0.88728,             0.62187,            0.022325,           0.0071431,           0.0027705,            0.006733,            0.006733,            0.006733
                  68,            0.024039,           0.0092395,           0.0021624,             0.81011,             0.91256,             0.89924,             0.62641,            0.022536,             0.00709,           0.0029368,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02407,            0.009344,            0.002424,             0.82503,             0.87664,             0.87791,              0.6133,            0.021957,           0.0069898,           0.0027083,            0.006634,            0.006634,            0.006634
                  70,            0.023464,           0.0097249,           0.0024297,               0.871,             0.87867,             0.89709,             0.62767,            0.023439,           0.0071475,           0.0023655,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023575,           0.0093033,           0.0023724,             0.83009,             0.86035,             0.86623,             0.60137,            0.022897,           0.0072571,           0.0026271,            0.006535,            0.006535,            0.006535
                  72,            0.024423,           0.0094069,           0.0023666,             0.85944,             0.87277,             0.89508,             0.63325,            0.022412,           0.0070279,           0.0025066,           0.0064855,           0.0064855,           0.0064855
                  73,            0.023579,           0.0093741,            0.002253,             0.82276,             0.93124,             0.91017,              0.6427,            0.022677,           0.0070852,           0.0019387,            0.006436,            0.006436,            0.006436
                  74,            0.023431,            0.009213,           0.0021347,             0.91471,              0.8448,              0.9018,             0.64168,            0.022275,           0.0070902,           0.0021724,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023776,           0.0094043,           0.0025355,             0.81602,             0.83877,             0.84896,             0.59705,            0.023229,           0.0072347,           0.0023763,            0.006337,            0.006337,            0.006337
                  76,            0.023287,           0.0093009,            0.002399,               0.854,             0.84839,             0.89166,             0.63624,            0.022568,           0.0071839,            0.002566,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023039,           0.0093361,           0.0024352,              0.8764,             0.86116,             0.89877,             0.64179,            0.021515,           0.0070006,           0.0021916,            0.006238,            0.006238,            0.006238
                  78,            0.022707,           0.0088442,           0.0018846,             0.84395,             0.89037,             0.89416,             0.62087,             0.02359,           0.0072746,           0.0022879,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023467,           0.0092589,            0.002037,             0.89021,             0.85234,             0.88883,             0.63585,            0.022841,            0.007079,           0.0021024,            0.006139,            0.006139,            0.006139
                  80,            0.022588,           0.0088672,           0.0021004,             0.87248,             0.86369,             0.88888,             0.61928,            0.021892,           0.0072412,            0.002908,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022971,           0.0093324,           0.0022001,             0.83697,             0.85695,             0.88784,             0.62485,            0.022576,           0.0074175,           0.0024628,             0.00604,             0.00604,             0.00604
                  82,            0.022479,           0.0092467,           0.0024318,             0.88511,             0.85556,             0.89695,             0.63538,            0.021813,           0.0071204,           0.0023799,           0.0059905,           0.0059905,           0.0059905
                  83,            0.023112,           0.0093334,           0.0019643,             0.88984,             0.85175,             0.90167,             0.63766,            0.022721,           0.0071462,           0.0019727,            0.005941,            0.005941,            0.005941
                  84,             0.02182,           0.0089044,            0.001938,             0.88121,             0.88589,             0.91104,             0.65335,            0.020502,           0.0069995,           0.0019689,           0.0058915,           0.0058915,           0.0058915
                  85,            0.021893,           0.0091699,           0.0020179,             0.90286,             0.86451,             0.89007,             0.62866,            0.022809,           0.0073385,            0.001906,            0.005842,            0.005842,            0.005842
                  86,            0.022336,           0.0092541,           0.0021702,             0.84888,             0.90335,             0.90459,             0.65115,            0.021832,           0.0072761,           0.0024863,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022561,           0.0090574,           0.0018197,             0.84161,             0.90368,             0.88586,             0.63046,            0.022304,            0.007324,           0.0020778,            0.005743,            0.005743,            0.005743
                  88,             0.02242,           0.0093797,           0.0020501,             0.81484,             0.83416,             0.85033,             0.60805,            0.021822,           0.0072143,           0.0031485,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023007,           0.0092839,            0.002366,             0.86005,             0.90481,             0.90804,             0.65655,            0.022124,           0.0069521,           0.0022615,            0.005644,            0.005644,            0.005644
                  90,            0.021787,           0.0090142,           0.0020245,             0.90699,             0.85113,             0.88096,             0.62186,            0.022114,           0.0069153,           0.0027454,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022212,           0.0092005,           0.0021383,             0.86093,             0.91223,             0.90488,             0.63595,            0.022827,           0.0074853,           0.0023822,            0.005545,            0.005545,            0.005545
                  92,            0.021663,            0.008986,           0.0021559,             0.88123,             0.86934,             0.89054,             0.62196,            0.022096,           0.0072785,           0.0026062,           0.0054955,           0.0054955,           0.0054955
                  93,            0.021561,           0.0092979,           0.0021497,             0.88319,             0.86278,              0.8994,             0.63125,            0.021454,           0.0071208,           0.0021624,            0.005446,            0.005446,            0.005446
                  94,            0.021511,           0.0091785,            0.001724,              0.8766,             0.87521,             0.89687,             0.65134,            0.021023,           0.0070595,           0.0020392,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022198,           0.0092663,           0.0017004,             0.88583,             0.87318,             0.89692,             0.63886,            0.021026,           0.0070382,           0.0024808,            0.005347,            0.005347,            0.005347
                  96,            0.021244,           0.0089723,           0.0015581,             0.84024,             0.86743,             0.87511,             0.62823,             0.02167,            0.007075,           0.0026791,           0.0052975,           0.0052975,           0.0052975
                  97,            0.020875,           0.0089329,           0.0016742,             0.83092,             0.88885,             0.90174,             0.63487,            0.021855,            0.007222,           0.0024705,            0.005248,            0.005248,            0.005248
                  98,            0.022067,           0.0086279,           0.0021328,             0.90775,             0.83625,             0.89157,             0.62704,            0.022043,           0.0072534,           0.0026346,           0.0051985,           0.0051985,           0.0051985
                  99,            0.021631,           0.0088299,           0.0018898,             0.91518,             0.83828,             0.87815,             0.63283,            0.021003,           0.0070723,           0.0025656,            0.005149,            0.005149,            0.005149
                 100,            0.021509,           0.0087148,           0.0018773,             0.79777,             0.90785,             0.89067,             0.63535,            0.021671,           0.0071219,           0.0021222,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020925,           0.0087586,           0.0018005,             0.88001,             0.89183,             0.90829,             0.64318,             0.02069,            0.006968,           0.0018945,             0.00505,             0.00505,             0.00505
                 102,            0.021915,            0.008975,           0.0015846,              0.8899,             0.84885,              0.9071,             0.64926,            0.020873,           0.0067877,           0.0023545,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020688,           0.0087283,           0.0017067,             0.86797,             0.84671,             0.90147,             0.65154,            0.021629,           0.0070768,           0.0026834,            0.004951,            0.004951,            0.004951
                 104,            0.020762,           0.0085273,           0.0016714,             0.83294,             0.89263,             0.89916,             0.64589,            0.021333,            0.007198,           0.0022743,           0.0049015,           0.0049015,           0.0049015
                 105,             0.02082,           0.0088736,           0.0018235,             0.88977,              0.8606,             0.89801,             0.65323,            0.020791,           0.0068723,           0.0028017,            0.004852,            0.004852,            0.004852
                 106,            0.020583,           0.0087275,           0.0016378,             0.84213,             0.92218,             0.90211,             0.64696,            0.021429,           0.0070368,           0.0022124,           0.0048025,           0.0048025,           0.0048025
                 107,            0.020355,           0.0086375,           0.0017128,             0.92179,             0.86914,             0.92005,             0.65716,             0.02087,           0.0069679,           0.0021458,            0.004753,            0.004753,            0.004753
                 108,            0.021279,           0.0086804,           0.0017936,             0.92176,             0.86257,             0.90404,             0.65143,            0.021198,           0.0068146,           0.0021913,           0.0047035,           0.0047035,           0.0047035
                 109,            0.019948,           0.0086741,           0.0017336,             0.92005,              0.8414,             0.90571,             0.65409,            0.020689,           0.0069337,           0.0027263,            0.004654,            0.004654,            0.004654
                 110,            0.020421,           0.0085449,           0.0015841,             0.91871,             0.84207,             0.90094,              0.6462,            0.020866,           0.0068771,           0.0023302,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020258,           0.0084549,           0.0017575,             0.86926,             0.86207,             0.87418,             0.62746,            0.021148,           0.0070959,           0.0023327,            0.004555,            0.004555,            0.004555
                 112,            0.020226,           0.0086504,           0.0014444,             0.88658,             0.86228,             0.88896,             0.62278,            0.022032,            0.007047,           0.0020127,           0.0045055,           0.0045055,           0.0045055
                 113,            0.020675,           0.0085833,           0.0014518,             0.88504,             0.83871,              0.8931,              0.6533,            0.021072,            0.006903,           0.0026587,            0.004456,            0.004456,            0.004456
                 114,            0.019896,           0.0086742,            0.001328,             0.88558,             0.87085,             0.89735,             0.63754,            0.020992,           0.0071315,           0.0024347,           0.0044065,           0.0044065,           0.0044065
                 115,            0.020059,            0.008571,           0.0014783,             0.89272,             0.84496,             0.89955,             0.63752,            0.021701,           0.0069942,            0.002517,            0.004357,            0.004357,            0.004357
                 116,            0.020005,            0.008749,           0.0014081,             0.88345,             0.87983,             0.91236,             0.64869,            0.021043,           0.0068379,           0.0021692,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020169,           0.0086272,           0.0013519,             0.86375,             0.88983,              0.9117,             0.65662,            0.021691,            0.007027,           0.0016209,            0.004258,            0.004258,            0.004258
                 118,            0.019699,           0.0082902,           0.0012128,             0.83979,             0.90016,             0.90217,              0.6543,            0.021819,           0.0068739,            0.001893,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019087,           0.0083198,           0.0013915,             0.85766,             0.89861,             0.90797,             0.66025,            0.020923,           0.0068836,            0.001816,            0.004159,            0.004159,            0.004159
                 120,            0.019247,           0.0083252,            0.001437,             0.91724,             0.85233,             0.90626,             0.65911,            0.020873,           0.0070218,           0.0030961,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019489,           0.0083182,           0.0016806,             0.83805,             0.92534,             0.90424,             0.64851,            0.021382,           0.0070107,           0.0018318,             0.00406,             0.00406,             0.00406
                 122,             0.01932,           0.0083838,           0.0017207,             0.89398,             0.86834,             0.90131,             0.64078,            0.021033,           0.0068903,           0.0025306,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019393,            0.008213,           0.0013259,             0.85041,             0.89426,             0.89549,             0.65167,            0.021458,           0.0069532,           0.0023842,            0.003961,            0.003961,            0.003961
                 124,              0.0192,           0.0082108,           0.0011918,             0.88778,             0.86407,             0.89524,             0.65599,            0.020353,           0.0068517,           0.0026786,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019189,           0.0082055,           0.0011728,             0.87415,             0.87588,              0.8903,             0.65061,            0.020763,           0.0067944,           0.0028931,            0.003862,            0.003862,            0.003862
                 126,            0.018631,           0.0084807,           0.0014975,             0.87543,             0.88094,             0.89148,             0.64356,            0.020368,           0.0068825,            0.003607,           0.0038125,           0.0038125,           0.0038125
                 127,            0.018559,           0.0082774,           0.0015432,             0.89478,             0.85835,             0.90564,             0.65557,            0.021986,           0.0070359,           0.0028538,            0.003763,            0.003763,            0.003763
                 128,            0.019267,           0.0083676,           0.0012721,             0.87735,             0.89441,             0.90491,             0.65619,            0.021142,           0.0068876,           0.0025059,           0.0037135,           0.0037135,           0.0037135
                 129,            0.018439,           0.0083552,           0.0011346,             0.89309,             0.88435,             0.89889,             0.64494,            0.021063,           0.0068979,           0.0023016,            0.003664,            0.003664,            0.003664
                 130,            0.018584,           0.0078337,           0.0010862,             0.86857,             0.86809,             0.89502,             0.65261,            0.021072,           0.0070844,           0.0023728,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018638,           0.0082332,           0.0016142,              0.8979,             0.85091,              0.8911,             0.65412,            0.020682,           0.0069553,           0.0024037,            0.003565,            0.003565,            0.003565
                 132,            0.018715,           0.0081592,           0.0011781,             0.88333,             0.84943,             0.90762,             0.65337,            0.020968,           0.0071953,           0.0019744,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018622,           0.0082331,           0.0013369,             0.88901,             0.84355,             0.88377,             0.63656,            0.020933,           0.0070802,           0.0021305,            0.003466,            0.003466,            0.003466
